YEAR,SUBSECTOR,CE,CI,EI,CS,SA,AE,EP,LPCU,CPT_1,CPT_2,CPT_3,CET_1,CET_2,CET_3,FSIZE,FLEV,INNOV,TANG,CO2_TAX_1,CO2_TAX_2,CO2_TAX_3,CO2_T1,CO2_T2,CO2_T3
2010,A,8.64992185,4.479442077,0.05773868774,0.4662760064,6.234728,1.442562098,1.07662216,4.754354452,4.043254182,4.344284178,4.520375437,7.348891855,7.64992185,7.826013109,4.945552285,0.3067889409,3.84509804,4.427242602,11047.25,22094.5,33141.75,22330161.01,44660322.03,66990483.04
2010,A,8.486733408,4.47833124,0.08496125552,0.2130632638,5.492617515,1.442031839,0.8823996585,4.906253132,4.244008542,4.545038538,4.721129797,7.185703412,7.486733408,7.662824667,5.010893313,0.3065340355,3.549738731,4.602059991,17539.15,35078.3,52617.45,15335693.21,30671386.43,46007079.64
2010,A,8.623016922,4.475877804,0.1261927286,0.2003603604,5.900112687,1.517511736,0.3498169284,5.248459796,4.255890934,4.55692093,4.733012189,7.321986927,7.623016922,7.799108181,4.973432677,0.3410265133,3.653115993,4.590786124,18025.65,36051.3,54076.95,20988767.01,41977534.01,62966301.02
2010,A,8.680097234,4.478535937,0.08383145011,0.2371725,9.658569566,1.469545624,0.1605417569,5.54540609,4.41784023,4.718870226,4.894961485,7.379067238,7.680097234,7.856188493,4.918177175,0.3195175545,3.656481516,4.444044796,26172.2,52344.4,78516.6,23936863.23,47873726.45,71810589.68
2010,A,8.457263821,4.477444981,0.0267472781,0.4660011882,8.60126234,1.263584373,0.2068349125,5.532361936,4.224750544,4.52578054,4.701871799,7.156233825,7.457263821,7.63335508,4.949590029,0.2086005323,3.660486016,4.397940009,16778.4,33556.8,50335.2,14329591.99,28659183.99,42988775.98
2010,A,8.579221893,4.47921868,0.05503178919,0.290832419,9.331249407,1.53271028,0.2023514833,5.434240504,4.374823471,4.675853466,4.851944725,7.278191897,7.579221893,7.755313152,4.925806967,0.3475609756,3.829818187,4.543385045,23704.1,47408.2,71112.3,18975441.84,37950883.68,56926325.53
2010,A,8.673944584,4.477953229,0.100347727,0.2700185834,7.047816517,1.684543685,0.3686621676,5.121924721,4.215181354,4.51621135,4.692302609,7.372914588,7.673944584,7.850035843,4.915035572,0.4063674283,3.99056083,4.512737746,16412.75,32825.5,49238.25,23600140.49,47200280.98,70800421.48
2010,A,8.603041311,4.479229597,0.03730487424,0.6160424832,5.179467442,1.473050655,1.390893887,4.736638683,3.829155766,4.130185761,4.306277021,7.302011316,7.603041311,7.77913257,5.048150363,0.3211367196,3.829818187,4.54696195,6747.7,13495.4,20243.1,20045242.55,40090485.09,60135727.64
2010,A,8.635397393,4.480094837,0.05359708234,0.337508998,6.93051537,1.434352835,0.3421314415,5.366261538,4.33913629,4.640166285,4.816257544,7.334367397,7.635397393,7.811488652,5.057110521,0.3028214705,3.999348069,4.478725179,21834.15,43668.3,65502.45,21595705.55,43191411.1,64787116.66
2010,A,8.632431677,4.476734809,0.06757742992,0.3584909812,5.227619039,1.403542109,0.6265446317,5.108935572,4.162232735,4.46326273,4.639353989,7.331401682,7.632431677,7.808522936,5.053113032,0.2875169234,3.99409709,4.551998619,14528.9,29057.8,43586.7,21448734.91,42897469.81,64346204.72
2010,A,8.488441837,4.477130117,0.03579334081,0.3645584232,6.668636394,1.397899927,0.5031220783,5.224555851,4.07510697,4.376136965,4.552228225,7.187411841,7.488441837,7.664533096,5.071705309,0.28464121,3.936764998,4.444918754,11887.95,23775.9,35663.85,15396139.64,30792279.29,46188418.93
2010,A,8.634856722,4.477240996,0.05392596645,0.4534064932,2.072313278,1.151677525,3.955239936,4.794370918,4.060221744,4.361251739,4.537342999,7.333826726,7.634856722,7.810947981,5.452874644,0.1317013852,3.762978491,4.565198252,11487.4,22974.8,34462.2,21568836.88,43137673.75,64706510.63
2010,A,8.654377521,4.479217158,0.04192872074,0.4499091319,6.503327651,1.364651142,0.3844056988,5.366576848,4.234624831,4.535654827,4.711746086,7.353347526,7.654377521,7.83046878,5.086388308,0.2672119861,3.829818187,4.541142234,17164.25,34328.5,51492.75,22560437.93,45120875.86,67681313.79
2010,A,8.69733506,4.478178989,0.04527158604,0.4547401364,6.863167592,1.361030487,0.2990647586,5.459409377,4.231474688,4.532504683,4.708595942,7.396305065,7.69733506,7.873426319,5.06904247,0.2652626012,3.936865459,4.600711587,17040.2,34080.4,51120.6,24906061.99,49812123.99,74718185.98
2010,A,8.638423577,4.476613651,0.03833252051,0.4789105769,6.848301906,1.289833538,0.2794358212,5.505589479,4.218607707,4.519637702,4.695728961,7.337393581,7.638423577,7.814514836,5.062405222,0.2247061575,3.906712057,4.455864635,16542.75,33085.5,49628.25,21746710.9,43493421.81,65240132.71
2010,A,8.550765279,4.478464378,0.0312444933,0.5069498737,6.230548778,1.422979978,0.4062434795,5.316050903,4.148630414,4.44966041,4.625751669,7.249735283,7.550765279,7.726856538,5.078036095,0.2972494235,3.891202827,4.444918754,14080.9,28161.8,42242.7,17771958.2,35543916.4,53315874.61
2010,A,8.489297731,4.477221702,0.02797462851,0.5334066706,5.731036662,1.34954148,0.3519402518,5.403364893,4.079873755,4.380903751,4.55699501,7.188267735,7.489297731,7.66538899,5.080020071,0.2590075853,3.994185128,4.424456931,12019.15,24038.3,36057.45,15426511.77,30853023.55,46279535.32
2010,A,8.624891281,4.476227468,0.03720058257,0.5881963565,5.3268992,1.434555969,0.8744548739,4.983662364,3.934967842,4.235997837,4.412089096,7.323861285,7.624891281,7.80098254,5.082117264,0.3029201914,3.938269483,4.440342241,8609.3,17218.6,25827.9,21079547.57,42159095.15,63238642.72
2010,A,8.598426077,4.48144289,0.03672290703,0.4657131772,6.365117246,1.414490708,0.3663316167,5.365646698,4.20553862,4.506568616,4.682659875,7.297396081,7.598426077,7.774517336,5.0801212,0.2930317645,3.946157395,4.563172461,16052.35,32104.7,48157.05,19833350.25,39666700.49,59500050.74
2010,A,8.693250681,4.478311177,0.04623523089,0.5513182901,5.579066461,1.368247491,0.6752803589,5.09635376,4.003141588,4.304171583,4.480262842,7.392220686,7.693250681,7.86934194,5.062002539,0.2691380715,3.831549852,4.511268232,10072.6,20145.2,30217.8,24672927.67,49345855.34,74018783.02
2010,A,8.561868274,4.478981306,0.06777867307,0.3404052516,4.497128013,1.470327232,0.6097246048,5.114314682,4.109688203,4.410718199,4.586809458,7.260838278,7.561868274,7.737959533,5.066862404,0.3198792908,3.956936414,4.565351873,12873.25,25746.5,38619.75,18232166.51,36464333.02,54696499.53
2010,A,8.639059683,4.480054758,0.036193361,0.7327408176,4.928561718,1.387330408,0.6795352478,5.068313533,3.438146636,3.739176632,3.915267891,7.338029688,7.639059683,7.815150942,5.042705427,0.2791911758,3.956936414,4.409002703,2742.5,5485,8227.5,21778586.42,43557172.84,65335759.25
2010,A,8.457263821,4.477444981,0.0267472781,0.4660011882,7.17162495,1.252650964,0.2499114704,5.532918387,4.225235601,4.526265596,4.702356855,7.156233825,7.457263821,7.63335508,5.028534653,0.2016930266,3.660486016,4.397940009,16797.15,33594.3,50391.45,14329591.99,28659183.99,42988775.98
2010,A,8.696701561,4.477952663,0.06452065682,0.2856143797,7.112937337,1.409289813,0.2932038962,5.485051017,4.441210309,4.742240304,4.918331563,7.395671565,7.696701561,7.87279282,5.101221067,0.2904227427,3.886377907,4.562851733,27619.15,55238.3,82857.45,24869758.35,49739516.71,74609275.06
2010,A,8.597362276,4.475101771,0.05161433677,0.4317413231,5.137381103,1.375875144,0.5514890973,5.183408796,4.100027455,4.401057451,4.57714871,7.296332281,7.597362276,7.773453535,5.063524752,0.2731898645,3.949682691,4.51249762,12590.05,25180.1,37770.15,19784828.07,39569656.14,59354484.2
2010,A,8.596355296,4.475455045,0.05187013128,0.3236223624,6.449417299,1.359698682,0.3791805822,5.374135137,4.358641904,4.6596719,4.835763159,7.295325301,7.596355296,7.772446555,5.086423902,0.2645429363,3.895919545,4.409138161,22837.15,45674.3,68511.45,19739006.98,39478013.97,59217020.95
2010,A,8.699895703,4.478092736,0.04401056838,0.6704753709,4.727203482,1.41429806,3.27912953,4.410959346,3.633241149,3.934271145,4.110362404,7.398865707,7.699895703,7.875986962,5.077258864,0.292935465,3.985650974,4.575811118,4297.75,8595.5,12893.25,25053344.31,50106688.61,75160032.92
2010,A,8.494554882,4.479280774,0.0298719725,0.5029276833,6.604462028,1.389873384,0.3082239563,5.386825589,4.090340953,4.391370948,4.567462207,7.193524887,7.494554882,7.670646141,5.018667218,0.2805100008,3.984302232,4.54696195,12312.35,24624.7,36937.05,15614385.11,31228770.23,46843155.34
2010,A,8.488441837,4.477130117,0.03579334081,0.3645584232,8.740446479,1.36163227,0.2109953033,5.495876106,4.323277889,4.624307885,4.800399144,7.187411841,7.488441837,7.664533096,4.95420873,0.2655873235,3.936764998,4.444918754,21051.25,42102.5,63153.75,15396139.64,30792279.29,46188418.93
2010,A,8.666059273,4.478641104,0.04209589729,0.5782931935,5.772427326,1.377760173,0.4493978191,5.247867256,3.932369745,4.23339974,4.409491,7.365029277,7.666059273,7.842150532,5.039671843,0.2741842742,3.932828767,4.588439788,8557.95,17115.9,25673.85,23175508.78,46351017.55,69526526.33
2010,A,8.550765279,4.478464378,0.0312444933,0.5069498737,6.119895279,1.35478491,0.4152814563,5.335605516,4.169137846,4.470167842,4.646259101,7.249735283,7.550765279,7.726856538,5.085818405,0.2618754514,3.891202827,4.444918754,14761.75,29523.5,44285.25,17771958.2,35543916.4,53315874.61
2010,A,8.6450108,4.478822267,0.05775448329,0.4296417522,5.174997154,1.347515136,0.7112435115,5.076034266,4.085160306,4.386190302,4.562281561,7.343980804,7.6450108,7.821102059,5.057586235,0.2578933079,3.99056083,4.565351873,12166.35,24332.7,36499.05,22079071.41,44158142.81,66237214.22
2010,A,8.561013407,4.47799993,0.03393189438,0.6283123035,5.378950061,1.375192142,0.5534136523,5.142119043,3.750812988,4.051842984,4.227934243,7.259983411,7.561013407,7.737104666,5.023532294,0.2728288875,3.957846634,4.57805441,5633.95,11267.9,16901.85,18196313.52,36392627.05,54588940.57
2010,A,8.601302827,4.480116168,0.05147764839,0.2848834823,8.538321635,1.449439128,0.2114155638,5.537191243,4.450226777,4.751256773,4.927348032,7.300272831,7.601302827,7.777394086,5.02352818,0.31007796,3.888404168,4.424456931,28198.55,56397.1,84595.65,19965161.67,39930323.34,59895485.01
2010,A,8.629459857,4.477445396,0.0845439951,0.2140023153,6.902840849,1.330819142,0.3502926011,5.386935359,4.421144714,4.72217471,4.898265969,7.328429862,7.629459857,7.805551116,5.055485363,0.2485830957,3.838471279,4.424456931,26372.1,52744.2,79116.3,21302465.05,42604930.11,63907395.16
2010,A,8.327563269,4.469348406,0.02608472359,0.4731693631,6.153474467,1.480379628,0.2781814335,5.362990363,3.893634173,4.194664168,4.370755428,7.026533273,7.327563269,7.503654528,4.977691603,0.3244975946,3.556302501,4.544068044,7827.7,15655.4,23483.1,10630000.21,21260000.42,31890000.63
2010,A,8.404599371,4.468744756,0.04916059039,0.2600706923,5.708345671,1.361714628,0.2795842856,5.492036987,4.237077275,4.53810727,4.714198529,7.103569375,7.404599371,7.58069063,5.072635847,0.2656317415,3.612783857,4.579783597,17261.45,34522.9,51784.35,12693148.91,25386297.82,38079446.72
2010,A,8.266016581,4.469755019,0.03802176757,0.2919867108,5.064162135,1.364662161,0.3009566178,5.432829525,4.182786868,4.483816863,4.659908122,6.964986586,7.266016581,7.44210784,5.046358572,0.2672179032,3.98985011,4.538611431,15233.05,30466.1,45699.15,9225429.315,18450858.63,27676287.95
2010,A,8.310395636,4.469213564,0.02737267201,0.3344895034,7.527210952,1.338430444,0.1739298157,5.635878454,4.323723276,4.624753271,4.800844531,7.009365641,7.310395636,7.486486895,5.002848297,0.2528562062,3.836767047,4.475322451,21072.85,42145.7,63218.55,10217993.93,20435987.87,30653981.8
2010,A,8.444718978,4.468777379,0.03732881151,0.3310994671,7.472924293,1.408138016,0.1753141653,5.61798614,4.312260948,4.613290944,4.789382203,7.143688982,7.444718978,7.620810237,5.010448372,0.289842339,3.933234129,4.562827966,20523.95,41047.9,61571.85,13921594.57,27843189.15,41764783.72
2010,A,8.436776947,4.468239786,0.03516055015,0.3362347061,7.762589786,1.37502883,0.1667005907,5.64558338,4.347254861,4.648284857,4.824376116,7.135746951,7.436776947,7.612868206,5.005832323,0.2727425211,3.89580915,4.422179315,22246.15,44492.3,66738.45,13669321.29,27338642.58,41007963.87
2010,A,8.324438185,4.470349179,0.04657413051,0.1950235578,6.631047096,1.356441416,0.1915803887,5.659522971,4.437290665,4.73832066,4.914411919,7.02340819,7.324438185,7.500529444,5.074275063,0.2627768601,3.95264717,4.457215569,27371,54742,82113,10553783.71,21107567.43,31661351.14
2010,A,8.326086766,4.469691141,0.04946527342,0.2149942197,5.972443729,1.413271362,0.2172038167,5.566423349,4.349712576,4.650742571,4.82683383,7.02505677,7.326086766,7.502178025,5.05351636,0.2924218046,3.953179601,4.420846542,22372.4,44744.8,67117.2,10593921.98,21187843.95,31781765.93
2010,A,8.292325973,4.469659556,0.04306794555,0.2010194753,6.764566999,1.287078193,0.1965787733,5.651892571,4.425994518,4.727024513,4.903115772,6.991295977,7.292325973,7.468417232,5.055034124,0.2230464276,3.761025252,4.444918754,26668.25,53336.5,80004.75,9801577.481,19603154.96,29404732.44
2010,A,8.288857201,4.469017685,0.02201497827,0.5313844513,5.653828051,1.375223798,0.3291859799,5.343555107,3.726172784,4.027202779,4.203294038,6.987827205,7.288857201,7.46494846,4.999369816,0.2728456262,3.505149978,4.414973348,5323.2,10646.4,15969.6,9723602.685,19447205.37,29170808.06
2010,A,8.334196345,4.46953639,0.02647471733,0.3419843836,7.546279881,1.346136455,0.1911893816,5.619536586,4.277012939,4.578042935,4.754134194,7.033166349,7.334196345,7.510287604,5.03008944,0.2571332599,3.556302501,4.544068044,18924,37848,56772,10793600.74,21587201.49,32380802.23
2010,A,8.349190247,4.470027872,0.02863925413,0.3368586971,6.641186426,1.421046935,0.1857782055,5.65090405,4.336878816,4.637908812,4.814000071,7.048160251,7.349190247,7.525281506,5.072507236,0.2962934755,3.941859127,4.422228598,21720.95,43441.9,65162.85,11172754.37,22345508.74,33518263.11
